iter	phi	mu	r	Density	Potential
0	0	0.15625	288000	2600	-521052
0	0	0.15625	296000	2600	-519914
0	0	0.15625	304000	2600	-518699
0	0	0.15625	312000	2600	-517498
0	0	0.15625	320000	2600	-516219
0	0	0.15625	328000	2600	-514954
0	0	0.15625	336000	2600	-513611
0	0	0.15625	344000	2600	-512283
0	0	0.15625	352000	2600	-510877
0	0	0.15625	360000	2600	-509485
0	0	0.15625	368000	2600	-508015
0	0	0.15625	376000	2600	-506560
0	0	0.15625	384000	2600	-505027
0	0	0.15625	392000	2600	-503508
0	0	0.15625	400000	2600	-501911
0	0	0.15625	408000	2600	-500329
0	0	0.15625	416000	2600	-498669
0	0	0.15625	424000	2600	-497023
0	0	0.15625	432000	2600	-495300
0	0	0.15625	440000	2600	-493591
0	0	0.15625	448000	2600	-491804
0	0	0.15625	456000	2600	-490032
0	0	0.15625	464000	2600	-488182
0	0	0.15625	472000	2600	-486348
0	0	0.15625	480000	2600	-484436
0	0	0.15625	488000	2600	-482539
0	0	0.15625	496000	2600	-480565
0	0	0.15625	504000	2600	-478604
0	0	0.15625	512000	2600	-476561
0	0	0.15625	520000	2600	-474534
0	0	0.15625	528000	2600	-472431
0	0	0.15625	536000	2600	-470344
0	0	0.15625	544000	2600	-468175
0	0	0.15625	552000	2600	-466019
0	0	0.15625	560000	2600	-463778
0	0	0.15625	568000	2600	-461552
0	0	0.15625	576000	2600	-459253
0	0	0.15625	584000	2600	-456969
0	0	0.15625	592000	2600	-454615
0	0	0.15625	600000	2600	-452277
0	0	0.15625	608000	2600	-449866
0	0	0.15625	616000	2600	-447471
0	0	0.15625	624000	2600	-444996
0	0	0.15625	632000	2600	-442534
0	0	0.15625	640000	2600	-439989
0	0	0.15625	648000	2600	-437456
0	0	0.15625	656000	2600	-434836
0	0	0.15625	664000	2600	-432230
0	0	0.15625	672000	2600	-429538
0	0	0.15625	680000	2600	-426859
0	0	0.15625	688000	2600	-424099
0	0	0.15625	696000	2600	-421355
0	0	0.15625	704000	2600	-418535
0	0	0.15625	712000	2600	-415732
0	0	0.15625	720000	2600	-412858
0	0	0.15625	728000	2600	-410002
0	0	0.15625	736000	2600	-407076
0	0	0.15625	744000	2600	-404169
0	0	0.15625	752000	2600	-401195
0	0	0.15625	760000	2600	-398239
0	0	0.15625	768000	2600	-395207
0	0	0.15625	776000	2600	-392191
0	0	0.15625	784000	2600	-389097
0	0	0.15625	792000	2600	-386017
0	0	0.15625	800000	2600	-382857
0	0	0.15625	808000	2600	-379707
0	0	0.15625	816000	2600	-376466
0	0	0.15625	824000	2600	-373233
0	0	0.15625	832000	2600	-369905
0	0	0.15625	840000	2600	-366584
0	0	0.15625	848000	2600	-363173
0	0	0.15625	856000	2600	-359771
0	0	0.15625	864000	2600	-356280
0	0	0.15625	872000	2600	-352798
0	0	0.15625	880000	2600	-349241
0	0	0.15625	888000	2600	-345698
